sseqid,canonical_id,display_name,gbk_type,category,function_class,cassette_role,tier,verification_status,expected_length_min,expected_length_max,organism_context
SPLICIFY_INTRON_IME_NUMBER_CL_INTRON_IME_035,INTRON_IME_NUMBER__CL_INTRON_IME_035,Number,intron,INTRON_IME,Number,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_PDK_CL_INTRON_IME_042,INTRON_IME_PDK__CL_INTRON_IME_042,Pdk,intron,INTRON_IME,Pdk,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_SV40_CL_INTRON_IME_041,INTRON_IME_SV40__CL_INTRON_IME_041,Sv40,intron,INTRON_IME,Sv40,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_SYNTHETIC_CL_INTRON_IME_036,INTRON_IME_SYNTHETIC__CL_INTRON_IME_036,Synthetic,intron,INTRON_IME,Synthetic,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_INTRON_IME_UBIQUITIN_CL_INTRON_IME_015,INTRON_IME_UBIQUITIN__CL_INTRON_IME_015,Ubiquitin,intron,INTRON_IME,Ubiquitin,intron,silver,unverified,0,0,m|a|m|m|a|l|i|a|n
SPLICIFY_ORI_BACTERIAL_2MICRON_CL_ORI_BAC_971ec749,ORI_BACTERIAL_2MICRON__CL_ORI_BACTERIAL_053,2Micron,rep_origin,ORI_BACTERIAL,2Micron,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_2MICRON_CL_ORI_BAC_6d36444c,ORI_BACTERIAL_2MICRON__CL_ORI_BACTERIAL_100,2Micron,rep_origin,ORI_BACTERIAL,2Micron,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_AGROBACTERIUM_CL_O_e2b97cea,ORI_BACTERIAL_AGROBACTERIUM__CL_ORI_BACTERIAL_151,Agrobacterium,rep_origin,ORI_BACTERIAL,Agrobacterium,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_ARS1_CL_ORI_BACTERIAL_038,ORI_BACTERIAL_ARS1__CL_ORI_BACTERIAL_038,Ars1,rep_origin,ORI_BACTERIAL,Ars1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_ARS1_CL_ORI_BACTERIAL_128,ORI_BACTERIAL_ARS1__CL_ORI_BACTERIAL_128,Ars1,rep_origin,ORI_BACTERIAL,Ars1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_ARS4_CL_ORI_BACTERIAL_052,ORI_BACTERIAL_ARS4__CL_ORI_BACTERIAL_052,Ars4,rep_origin,ORI_BACTERIAL,Ars4,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_ARSH4_CL_ORI_BACTERIAL_172,ORI_BACTERIAL_ARSH4__CL_ORI_BACTERIAL_172,Arsh4,rep_origin,ORI_BACTERIAL,Arsh4,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CDF_CL_ORI_BACTERIAL_062,ORI_BACTERIAL_CDF__CL_ORI_BACTERIAL_062,Cdf,rep_origin,ORI_BACTERIAL,Cdf,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN_ARS_CL_ORI_BAC_16603220,ORI_BACTERIAL_CEN/ARS__CL_ORI_BACTERIAL_012,Cen/Ars,rep_origin,ORI_BACTERIAL,Cen/Ars,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN4_ARS416_CL_ORI_b8fb34e5,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_010,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN4_ARS416_CL_ORI_7b2d51f6,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_011,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN4_ARS416_CL_ORI_f695f7cc,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_125,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN4_ARS416_CL_ORI_76d6fc54,ORI_BACTERIAL_CEN4/ARS416__CL_ORI_BACTERIAL_202,Cen4/Ars416,rep_origin,ORI_BACTERIAL,Cen4/Ars416,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN6_ARS4_CL_ORI_B_f01a0663,ORI_BACTERIAL_CEN6/ARS4__CL_ORI_BACTERIAL_029,Cen6/Ars4,rep_origin,ORI_BACTERIAL,Cen6/Ars4,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEN6_ARSH_CL_ORI_B_162a4e1e,ORI_BACTERIAL_CEN6/ARSH__CL_ORI_BACTERIAL_157,Cen6/Arsh,rep_origin,ORI_BACTERIAL,Cen6/Arsh,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEREVISIAE_CL_ORI__1b84b95b,ORI_BACTERIAL_CEREVISIAE__CL_ORI_BACTERIAL_180,Cerevisiae,rep_origin,ORI_BACTERIAL,Cerevisiae,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CEREVISIAE_CL_ORI__784ad54d,ORI_BACTERIAL_CEREVISIAE__CL_ORI_BACTERIAL_181,Cerevisiae,rep_origin,ORI_BACTERIAL,Cerevisiae,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COL_CL_ORI_BACTERIAL_186,ORI_BACTERIAL_COL__CL_ORI_BACTERIAL_186,Col,rep_origin,ORI_BACTERIAL,Col,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_005,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_005,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_014,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_014,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_028,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_028,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_031,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_031,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_032,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_032,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_033,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_033,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_034,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_034,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_050,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_050,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_051,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_051,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_083,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_083,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_088,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_088,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_091,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_091,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_093,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_093,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_097,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_097,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_099,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_099,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_106,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_106,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_107,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_107,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_108,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_108,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_109,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_109,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_120,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_120,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_142,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_142,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_171,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_171,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLE1_CL_ORI_BACTERIAL_197,ORI_BACTERIAL_COLE1__CL_ORI_BACTERIAL_197,Cole1,rep_origin,ORI_BACTERIAL,Cole1,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_COLI_CL_ORI_BACTERIAL_115,ORI_BACTERIAL_COLI__CL_ORI_BACTERIAL_115,Coli,rep_origin,ORI_BACTERIAL,Coli,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_CTH_CL_ORI_BACTERIAL_158,ORI_BACTERIAL_CTH__CL_ORI_BACTERIAL_158,Cth,rep_origin,ORI_BACTERIAL,Cth,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_DDP2_CL_ORI_BACTERIAL_205,ORI_BACTERIAL_DDP2__CL_ORI_BACTERIAL_205,Ddp2,rep_origin,ORI_BACTERIAL,Ddp2,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_DERIVED_CL_ORI_BAC_273c6831,ORI_BACTERIAL_DERIVED__CL_ORI_BACTERIAL_176,Derived,rep_origin,ORI_BACTERIAL,Derived,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_DERIVED_CL_ORI_BAC_d0d3da37,ORI_BACTERIAL_DERIVED__CL_ORI_BACTERIAL_194,Derived,rep_origin,ORI_BACTERIAL,Derived,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_EPSTEIN_CL_ORI_BAC_0fe97836,ORI_BACTERIAL_EPSTEIN__CL_ORI_BACTERIAL_168,Epstein,rep_origin,ORI_BACTERIAL,Epstein,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
SPLICIFY_ORI_BACTERIAL_F1_CL_ORI_BACTERIAL_156,ORI_BACTERIAL_F1+__CL_ORI_BACTERIAL_156,F1+,rep_origin,ORI_BACTERIAL,F1+,ori,silver,unverified,0,0,b|a|c|t|e|r|i|a|l
